Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.66     0.00    19754     0.00     0.00  v__checker__Checker_assign_stmt
  0.00      0.66     0.00    19416     0.00     0.00  v__ast__Table_type_to_str
  0.00      0.66     0.00    19416     0.00     0.00  v__ast__Table_type_to_str_using_aliases
  0.00      0.66     0.00    19336     0.00     0.00  v__checker__Checker_check_valid_snake_case
  0.00      0.66     0.00    19143     0.00     0.00  v__checker__Checker_check_import_sym_conflict
  0.00      0.66     0.00    19093     0.00     0.00  builtin__string_index_kmp
  0.00      0.66     0.00    19066     0.00     0.00  builtin__map_eq_int_8
  0.00      0.66     0.00    19036     0.00     0.00  v__transformer__Transformer_find_new_array_len
  0.00      0.66     0.00    19036     0.00     0.00  v__transformer__Transformer_find_new_range
  0.00      0.66     0.00    18157     0.00     0.00  strconv__common_parse_uint2
  0.00      0.66     0.00    18040     0.00     0.00  v__checker__Checker_smartcast_if_conds
  0.00      0.66     0.00    17949     0.00     0.00  v__gen__c__Gen_assign_stmt
  0.00      0.66     0.00    17673     0.00     0.00  v__util__Timers_tsafe_get_sw
  0.00      0.66     0.00    17672     0.00     0.00  v__util__Timers_tsafe_set_sw
  0.00      0.66     0.00    17640     0.00     0.00  v__parser__Parser_prepend_mod
  0.00      0.66     0.00    16609     0.00     0.00  v__ast__Scope_find_const
  0.00      0.66     0.00    16371     0.00     0.00  v__ast__Table_find_fn
  0.00      0.66     0.00    15950     0.00     0.00  v__gen__c__Gen_zero_struct_field
  0.00      0.66     0.00    15945     0.00     0.00  v__ast__Table_known_type
  0.00      0.66     0.00    15744     0.00     0.00  v__ast__Scope_find_struct_field
  0.00      0.66     0.00    15719     0.00     0.00  strconv__common_parse_uint
  0.00      0.66     0.00    15672     0.00     0.00  v__gen__c__Gen_gen_plain_infix_expr
  0.00      0.66     0.00    15291     0.00     0.00  v__checker__Checker_check_for_mut_receiver
  0.00      0.66     0.00    15140     0.00     0.00  Array_v__ast__Attr_find_first
  0.00      0.66     0.00    14982     0.00     0.00  v__scanner__Scanner_ident_number
  0.00      0.66     0.00    14982     0.00     0.00  v__scanner__Scanner_num_lit
  0.00      0.66     0.00    14924     0.00     0.00  v__parser__Parser_peek_token_after_var_list
  0.00      0.66     0.00    14814     0.00     0.00  v__parser__Parser_parse_number_literal
  0.00      0.66     0.00    14163     0.00     0.00  v__checker__Checker_check_module_name_conflict
  0.00      0.66     0.00    14061     0.00     0.00  v__parser__Parser_if_expr
  0.00      0.66     0.00    13917     0.00     0.00  v__checker__Checker_string_lit
  0.00      0.66     0.00    13897     0.00     0.00  builtin__string_index_
  0.00      0.66     0.00    13109     0.00     0.00  v__checker__Checker_check_non_expr_branch_last_stmt
  0.00      0.66     0.00    12525     0.00     0.00  v__gen__c__determine_integer_literal_type
  0.00      0.66     0.00    12520     0.00     0.00  v__transformer__Transformer_expr_stmt_if_expr
  0.00      0.66     0.00    12471     0.00     0.00  v__gen__c__Gen_if_expr
  0.00      0.66     0.00    12308     0.00     0.00  v__ast__Table_dependent_names_in_expr
  0.00      0.66     0.00    11799     0.00     0.00  strings__Builder_write_decimal
  0.00      0.66     0.00    11671     0.00     0.00  builtin__memdup
  0.00      0.66     0.00    11627     0.00     0.00  v__parser__Parser_find_type_or_add_placeholder
  0.00      0.66     0.00    11528     0.00     0.00  v__checker__Checker_change_flags_if_comptime_expr
  0.00      0.66     0.00    11377     0.00     0.00  v__checker__has_top_return_in_if_expr
  0.00      0.66     0.00    11242     0.00     0.00  v__gen__c__Gen_string_literal
  0.00      0.66     0.00    11195     0.00     0.00  builtin__fast_string_eq
