Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.65     0.00    10612     0.00     0.00  builtin__string_contains
  0.00      0.65     0.00    10142     0.00     0.00  indent_v__token__Pos_str
  0.00      0.65     0.00     9928     0.00     0.00  v__gen__c__Gen_new_tmp_var
  0.00      0.65     0.00     9911     0.00     0.00  v__checker__Checker_get_default_fmt
  0.00      0.65     0.00     9597     0.00     0.00  v__parser__Parser_register_used_import
  0.00      0.65     0.00     9412     0.00     0.00  v__gen__c__Gen_need_tmp_var_in_array_call
  0.00      0.65     0.00     9276     0.00     0.00  builtin__map_clone_int_4
  0.00      0.65     0.00     8649     0.00     0.00  v__parser__Parser_enum_val
  0.00      0.65     0.00     8635     0.00     0.00  v__parser__Parser_return_stmt
  0.00      0.65     0.00     8501     0.00     0.00  v__checker__Checker_enum_val
  0.00      0.65     0.00     8288     0.00     0.00  v__ast__Table_dependent_names_in_stmt
  0.00      0.65     0.00     8157     0.00     0.00  v__ast__Table_type_size
  0.00      0.65     0.00     8089     0.00     0.00  v__ast__Scope_innermost
  0.00      0.65     0.00     7816     0.00     0.00  v__depgraph__OrderedDepMap_get
  0.00      0.65     0.00     7766     0.00     0.00  v__gen__c__Gen_enum_val
  0.00      0.65     0.00     7709     0.00     0.00  v__ast__Fn_struct_eq
  0.00      0.65     0.00     7538     0.00     0.00  v__checker__Checker_check_any_type
  0.00      0.65     0.00     7508     0.00     0.00  v__parser__Parser_has_prev_newline
  0.00      0.65     0.00     7374     0.00     0.00  v__gen__c__Gen_ret_styp
  0.00      0.65     0.00     7369     0.00     0.00  v__parser__Parser_has_prev_line_comment_or_label
  0.00      0.65     0.00     7239     0.00     0.00  builtin__StrIntpType_str
  0.00      0.65     0.00     7239     0.00     0.00  builtin__get_str_intp_u32_format
  0.00      0.65     0.00     7239     0.00     0.00  v__ast__Table_final_type
  0.00      0.65     0.00     7239     0.00     0.00  v__gen__c__Gen_str_format
  0.00      0.65     0.00     7239     0.00     0.00  v__gen__c__Gen_str_val
  0.00      0.65     0.00     7023     0.00     0.00  v__ast__TypeSymbol_find_method_with_generic_parent
  0.00      0.65     0.00     7011     0.00     0.00  v__checker__Checker_fail_if_immutable_to_mutable
  0.00      0.65     0.00     6949     0.00     0.00  Array_v__ast__Attr_find_comptime_define
  0.00      0.65     0.00     6868     0.00     0.00  v__gen__c__Gen_infix_expr_eq_op
  0.00      0.65     0.00     6795     0.00     0.00  v__checker__Checker_return_stmt
  0.00      0.65     0.00     6491     0.00     0.00  builtin__string_trim_chars
  0.00      0.65     0.00     6352     0.00     0.00  v__util__Timers_start
  0.00      0.65     0.00     6248     0.00     0.00  v__gen__c__Gen_infix_expr_and_or_op
  0.00      0.65     0.00     5996     0.00     0.00  v__parser__Parser_call_expr
  0.00      0.65     0.00     5954     0.00     0.00  v__ast__Stmt_sumtype_eq
  0.00      0.65     0.00     5792     0.00     0.00  v__ast__Table_struct_fields
  0.00      0.65     0.00     5423     0.00     0.00  v__gen__c__Gen_return_stmt
  0.00      0.65     0.00     5397     0.00     0.00  v__checker__Checker_string_inter_lit
  0.00      0.65     0.00     5307     0.00     0.00  v__util__Timers_measure
  0.00      0.65     0.00     5276     0.00     0.00  v__gen__c__Gen_check_expr_is_const
  0.00      0.65     0.00     5124     0.00     0.00  v__parser__Parser_top_stmt
  0.00      0.65     0.00     5000     0.00     0.00  strconv__common_parse_int
  0.00      0.65     0.00     4760     0.00     0.00  v__parser__Parser_is_match_sumtype_type
  0.00      0.65     0.00     4701     0.00     0.00  v__gen__c__Gen_type_sidx
  0.00      0.65     0.00     4498     0.00     0.00  v__parser__Parser_parse_generic_types
  0.00      0.65     0.00     4300     0.00     0.00  v__ast__TypeSymbol_struct_eq
